,spearman_home_goals,spearman_away_goals,spearman_total_goals,spearman_goal_diff,rf_home_goals,rf_away_goals,rf_total_goals,rf_goal_diff,abs_spearman_mean,rf_importance_mean,abs_spearman_mean_z,rf_importance_mean_z,combined_score
home_ctx_keepers_performance_ga,-0.1373063928749805,0.1547394674317131,-0.0021685969107234906,-0.2049550120750849,0.0001338718342383616,0.0005895510552753612,0.00089380314858779,0.0005072458898187831,0.12479236732312549,0.000531117981980074,0.9919676190278506,-0.47767068014571545,0.5142969388821351
home_ctx_playingtime_team_success_onga,-0.1373063928749805,0.1547394674317131,-0.0021685969107234906,-0.2049550120750849,0.0003975196567341467,0.0004725356345226161,0.0005440486562665274,0.0006927969935710374,0.12479236732312549,0.0005267252352735819,0.9919676190278506,-0.478156029326514,0.5138115897013366
away_goals_conceded_5,0.09018379056854761,-0.04940541307073921,0.033188799260878775,0.09605487241390935,0.0140514944852277,0.006184826789949032,0.010102845968937306,0.0077478007554897714,0.06720821882851874,0.009521741999900952,-0.09950427075852986,0.515692309693285,0.4161880389347551
home_ctx_keepers_performance_saves,-0.1126410996156083,0.13490408754990527,0.007270894097815674,-0.17107321823417274,0.0030482700364634426,0.0013091376448382385,0.0024762236935431084,0.0016504586265441003,0.1064723248743755,0.002121022500347222,0.6447225546265486,-0.3020040853937131,0.3427184692328355
home_ctx_misc_performance_fls,-0.12751112272236634,-0.004700253025721406,-0.10270768103760022,-0.11222125897692395,0.006158901677236674,0.0030736899847030926,0.010427905531856607,0.001956308529218002,0.08678507894065299,0.005404201430753594,0.2715629944746452,0.060750316523663014,0.33231331099830824
away_ctx_shooting_standard_sh,-0.05697681853697143,0.15414395900246344,0.07888227098653829,-0.13385578347290975,0.0009353599822505833,0.0013658972893534967,0.0021124206691313127,0.0009720520926963219,0.10596470799972071,0.0013464325083579287,0.6351009909853184,-0.3875875809117239,0.24751341007359445
away_ctx_shooting_standard_sh_90,-0.05697681853697143,0.15414395900246344,0.07888227098653829,-0.13385578347290975,0.0007311354666946322,0.0008640745682576532,0.0023971750716400807,0.001048769546626711,0.10596470799972071,0.0012602886633047692,0.6351009909853184,-0.39710550840014563,0.23799548258517272
home_ctx_misc_performance_pkwon,0.1267583173298196,-0.09754848496174677,0.023695951657803794,0.175487221935195,0.0007253439106970856,0.0004766853624185113,0.0015228303203579467,0.0007619479597484232,0.10587249397114129,0.0008717018883054917,0.6333531311546251,-0.44003998323256593,0.19331314792205917
away_ctx_shooting_standard_sot,-0.0453347381611762,0.1502770546477216,0.08152876797392608,-0.12152022386415082,0.001533598950001098,0.0014500086961896546,0.0014745190423904996,0.0014925396053248978,0.09966519616174369,0.0014876665734765376,0.5156976435315926,-0.3719828027657703,0.14371484076582236
away_ctx_shooting_standard_sot_90,-0.0453347381611762,0.1502770546477216,0.08152876797392608,-0.12152022386415082,0.0010606339141963333,0.0009187701099261691,0.0004918990828480266,0.002366047327807067,0.09966519616174369,0.0012093376086943991,0.5156976435315926,-0.4027350277574585,0.11296261577413413
